product_code,variant_code,primary_color,color,size,type,style,age,gender,current_old,range,NOOS
5060998008032,5060998008032,black,Black,L,Bottle,apparel,adult,mens,1,,
PG001,PG001-M0-BAI,white,White,M0,belt,gi,kids,mens,1,,
PG001,PG001-M00-BAI,white,White,M00,belt,gi,kids,mens,1,,
PG001,PG001-M000-BAI,white,White,M000,belt,gi,kids,mens,1,,
PG001,PG001-M1-BAI,white,White,M1,belt,gi,kids,mens,1,,
PG001,PG001-M2-BAI,white,White,M2,belt,gi,kids,mens,1,,
PG001,PG001-M3-BAI,white,White,M3,belt,gi,kids,mens,1,,
PG001,PG001-M4-BAI,white,White,M4,belt,gi,kids,mens,1,,
PG002,PG002-A0-HEI,black,Black,A0,gi,gi,adult,mens,0,,
PG002,PG002-A1-HEI,black,Black,A1,gi,gi,adult,mens,0,,
PG002,PG002-A1L-HEI,black,Black,A1L,gi,gi,adult,mens,0,,
PG002,PG002-A2-HEI,black,Black,A2,gi,gi,adult,mens,0,,
PG002,PG002-A2L-HEI,black,Black,A2L,gi,gi,adult,mens,0,,
PG002,PG002-F0-HEI,black,Black,F0,gi,gi,adult,womens,0,,
PG002,PG002-F1-HEI,black,Black,F1,gi,gi,adult,womens,0,,
PG002,PG002-F2-HEI,black,Black,F2,gi,gi,adult,womens,0,,
PG002,PG002-A0-LAN,blue,Blue,A0,gi,gi,adult,mens,0,,
PG002,PG002-A1-LAN,blue,Blue,A1,gi,gi,adult,mens,0,,
PG002,PG002-A1L-LAN,blue,Blue,A1L,gi,gi,adult,mens,0,,
PG002,PG002-A2-LAN,blue,Blue,A2,gi,gi,adult,mens,0,,
PG002,PG002-A2L-LAN,blue,Blue,A2L,gi,gi,adult,mens,0,,
PG002,PG002-F0-LAN,blue,Blue,F0,gi,gi,adult,womens,0,,
PG002,PG002-F1-LAN,blue,Blue,F1,gi,gi,adult,womens,0,,
PG002,PG002-F2-LAN,blue,Blue,F2,gi,gi,adult,womens,0,,
PG002,PG002-A0-BAI,white,White,A0,gi,gi,adult,mens,0,,
PG002,PG002-A1-BAI,white,White,A1,gi,gi,adult,mens,0,,
PG002,PG002-A1L-BAI,white,White,A1L,gi,gi,adult,mens,0,,
PG002,PG002-A2-BAI,white,White,A2,gi,gi,adult,mens,0,,
PG002,PG002-A2L-BAI,white,White,A2L,gi,gi,adult,mens,0,,
PG002,PG002-F0-BAI,white,White,F0,gi,gi,adult,womens,0,,
PG002,PG002-F1-BAI,white,White,F1,gi,gi,adult,womens,0,,
PG002,PG002-F2-BAI,white,White,F2,gi,gi,adult,womens,0,,
PG003,PG003--A0-LAN,blue,Blue,A0,belt,gi,adult,mens,1,,
PG003,PG003--A1-LAN,blue,Blue,A1,belt,gi,adult,mens,1,,
PG003,PG003-A1-HEI,black,black,A1,belt,gi,adult,mens,1,,
